State,,District,University Type,University Name,College Name,College Type,Address,Website,Management,"Year of Establishment
",Specialised in,Location,Upload Year
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",A.C. College of Technology Campus ,Constituent / University College,"Sardar Patel Road, Anna University, Chennai - 600 025., Chennai",www.annauniv.edu/act/,University,1944,Engineering & Technology,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",Anand School of Architecture ,Affiliated College,"Kalasalingam Nagar, Old Mahabalipuram Road, Kazhipattur, Chennai",www.aiht.ac.in,Private Un-Aided,2012,Architecture,Rural,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY ,Affiliated College,"NH-46, CHENNAI - BENGALURU NATIONAL HIGHWAYS, ARAPPAKKAM, VELLORE",www.amcet.in,Private Un-Aided,2012,Engineering & Technology,Rural,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",Central Institute of Plastics Engineering and Technology ,Affiliated College,"CIPET ( Govt. of India), T.V.K Industrial Estate, Guindy, Chennai",www.cipet.gov.in,Central Government,1968,Technical,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)","College of Engg., Guindy Campus ",Constituent / University College,"3, SARDAR PATEL ROAD, CHENNAI - 600025",www.annauniv.edu,State Government,1794,No,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",DA VINCI SCHOOL OF DESIGN AND ARCHITECTURE ,Affiliated College,"Rajiv Gandhi Salai, Karapakkam, Chennai",www.davinci.edu.in,Private Un-Aided,2012,No,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",Jawahar Engineering College ,Affiliated College,"Sabarmathi 54 KK Road Kaverirangan Nagar Saligramam, Chennai",www.jecchennai.in,Private Un-Aided,2010,Engineering & Technology,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",Jawahar School of Architecture Planning and Design ,Affiliated College,"""Sabarmathi"", No:54, K.K.Road, Kaverirangan Nagar, Saligramam (Near Vadapalani), Chennai",www.jawaharvidyalayachennai.in,Private Un-Aided,2015,Architecture,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",KUMARAN INSTITUTE OF TECHNOLOGY ,Affiliated College,"NEAR NANDIAMBAKKAM RAILWAY STATION, NANDIAMBAKKAM, CHENNAI - 600120",www.kitchennai.org,Private Un-Aided,2012,No,Rural,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",Loyola-ICAM College of Engineering and Technology ,Affiliated College,"Loyola College Campus, Nungambakkam, Chennai",licet.ac.in,Private Un-Aided,2010,Engineering & Technology,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",Madras Institute of Technology Campus ,Constituent / University College,"0, 0, 0",www.annauniv.edu,State Government,1949,No,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",MEASI Academy of Architecture ,Affiliated College,"""Association Gardens"" 87, Peters Road,, Royapettah, Chennai",measiarch.in,Private Un-Aided,1999,Architecture,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",Meenakshi College of Engineering ,Affiliated College,"No.12 Venbuliamman Kovil Street, West K.K.Nagar, Chennai",www.mce-edu.in,Private Un-Aided,2001,Technical,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",Meenakshi Sundararajan Engineering College ,Affiliated College,"363  ARCOT ROAD, KODAMBAKKAM, CHENNAI",www.msec.edu.in,Private Un-Aided,2001,Engineering & Technology,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",MISRIMAL NAVAJEE MUNOTH JAIN SCHOOL OF ARCHITECTURE ,Affiliated College,"GURUMARUDHAR KESERI BUILDING, JYOTHI NAGAR, THORAIPAKKAM, CHENNAI",www.mnmjsa.com,Private Un-Aided,2012,Architecture,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",RVS PADMAVATHY SCHOOL OF ARCHITECTURE ,Affiliated College,"No13, Sethilpakkam Village,Roshanagaram Post, Madarpakkam, Gummidipoondi Taluk pin 601202, Thiruvallur district, Chennai",www.rvschennai.com,Private Un-Aided,2011,Architecture,Rural,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",School of Architecture & Planning Campus ,Constituent / University College,"Anna University, Sardar Patel Road, Guindy, Chennai",www.annauniv.edu/sap,University,1957,Architecture,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)","ST. JOSEPH'S INSTITUTE OF TECHNOLOGY, OMR ",Affiliated College,"OLD MAMALLAPURAM ROAD, CHENNAI, CHENNAI",www.stjosephstechnology.ac.in,Private Un-Aided,2011,Engineering & Technology,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Anna University, Chennai (Id: U-0439)",VEDHANTHA INSTITUTE OF TECHNOLOGY ,Affiliated College,"NH-45,chennai-trichy highway, padur, NH-45,chennai-trichy highway, padur, Villupuram",vedhantha.edu.in,Private Un-Aided,2012,No,Rural,2018
Tamil Nadu,,Chennai,Institute of National Importance ,Dakshina Bharat Hindi Prachar Sabha (Id: U-0452),RAJAJI COLLEGE OF EDUCATION ,Constituent / University College,"POST GRADUATE AND RESEARCH COMPLEX, UNIVERSITY WING, DAKSHINA BHARAT HINDI PRACHAR SABHA, T.NAGAR, CHENNAI",www.dbhps-rajajibedcollege.org,Private Un-Aided,1986,No,Urban,2018
Tamil Nadu,,Chennai,Deemed University-Government ,"Homi Bhabha National Institute, Mumbai (Id: U-0304)",The Institute of Mathematical Sciences,Constituent / University College,"4th Cross Street, C.I.T. Campus, Chennai",www.imsc.res.in,Central Government,1962,Science,Urban,2018
Tamil Nadu,,Chennai,Central University ,Indian Maritime University (Id: U-0457),"INDIAN MARITIME UNIVERSITY, CHENNAI ",Constituent / University College,"East Coast Road, Uthandi, Chennai",www.imu.edu.in,Central Government,1986,Maritime University,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Madras University, Chennai (Id: U-0462)",ALPHA ARTS AND SCIENCE COLLEGE ,Affiliated College,"Post Box No: 30, Alpha Nagar,, Thundalam, Porur,, Chennai",http://www.alphagroup.edu,Private Un-Aided,1996,Arts and Science,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Madras University, Chennai (Id: U-0462)",AM JAIN COLLEGE ,Affiliated College,"MEENAMBAKKAM, CHENNAI",www.amjaincollege.edu.in,Private Aided,1952,No,Urban,2018
Tamil Nadu,,Chennai,State Public University ,"Madras University, Chennai (Id: U-0462)",ANNA ADARSH COLLEGE FOR WOMEN ,Affiliated College,"A1, II Street, 9th Main Road,, Anna Nagar, Chennai - 600 040",annaadarsh.edu.in,Private Un-Aided,1985,No,Urban,2018
